onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0	6.0	active_change	miss	n/a	n/a
20.0	6.0	active_change	incorrect	0.267199999999999	left
26.0	6.0	active_nochange	miss	n/a	n/a
36.0	6.0	passive	miss	n/a	n/a
42.0	6.0	active_change	incorrect	0.47630000000000194	left
52.0	6.0	active_nochange	correct	0.9279999999999973	left
60.0	6.0	active_change	correct	0.08069999999999311	right
66.0	6.0	active_nochange	correct	0.43550000000000466	left
72.0	6.0	active_change	correct	0.7232999999999947	right
78.0	6.0	active_change	incorrect	0.5140999999999991	left
86.0	6.0	active_nochange	incorrect	0.916799999999995	right
92.0	6.0	active_nochange	correct	0.2815999999999974	left
100.0	6.0	active_nochange	incorrect	0.6533000000000015	right
106.0	6.0	passive	n/a	0.940100000000001	left
112.0	6.0	active_change	correct	0.7989000000000033	right
118.0	6.0	active_nochange	miss	n/a	n/a
126.0	6.0	passive	n/a	0.6913999999999874	right
134.0	6.0	active_nochange	incorrect	0.4270999999999958	right
140.0	6.0	active_nochange	correct	0.26490000000001146	left
150.0	6.0	active_nochange	correct	0.626499999999993	left
156.0	6.0	passive	miss	n/a	n/a
162.0	6.0	passive	n/a	0.9891000000000076	right
172.0	6.0	active_change	incorrect	0.4887999999999977	left
180.0	6.0	active_change	correct	0.31450000000000955	right
188.0	6.0	active_nochange	correct	0.32220000000000937	left
194.0	6.0	active_change	miss	n/a	n/a
204.0	6.0	passive	miss	n/a	n/a
210.0	6.0	active_nochange	correct	0.5165000000000077	left
216.0	6.0	active_change	miss	n/a	n/a
222.0	6.0	active_change	correct	0.4089999999999918	right
228.0	6.0	active_nochange	correct	0.3488000000000113	left
238.0	6.0	active_change	correct	0.7055000000000007	right
244.0	6.0	active_change	correct	0.8891999999999882	right
252.0	6.0	active_change	miss	n/a	n/a
258.0	6.0	active_change	miss	n/a	n/a
264.0	6.0	active_nochange	correct	0.42849999999998545	left
272.0	6.0	passive	n/a	0.6763000000000261	left
280.0	6.0	passive	miss	n/a	n/a
296.0	6.0	active_nochange	incorrect	0.7273999999999887	right
302.0	6.0	active_nochange	incorrect	0.5962000000000103	right
