onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0	6.0	active_change	miss	n/a	n/a
20.0	6.0	active_change	correct	0.6182000000000016	right
26.0	6.0	active_nochange	incorrect	0.9019000000000013	right
36.0	6.0	passive	miss	n/a	n/a
42.0	6.0	active_change	correct	0.7194000000000003	right
52.0	6.0	active_nochange	correct	0.713000000000001	left
60.0	6.0	active_change	correct	0.6517000000000053	right
66.0	6.0	active_nochange	miss	n/a	n/a
72.0	6.0	active_change	correct	0.5212999999999965	right
78.0	6.0	active_change	correct	0.6071000000000026	right
86.0	6.0	active_nochange	correct	0.7488000000000028	left
92.0	6.0	active_nochange	correct	0.5056000000000012	left
100.0	6.0	active_nochange	correct	0.6293000000000006	left
106.0	6.0	passive	miss	n/a	n/a
112.0	6.0	active_change	correct	0.5688999999999993	right
118.0	6.0	active_nochange	correct	0.9517000000000024	left
126.0	6.0	passive	n/a	0.841399999999993	left
134.0	6.0	active_nochange	correct	0.6141000000000076	left
140.0	6.0	active_nochange	correct	0.927899999999994	left
150.0	6.0	active_nochange	correct	0.6925999999999988	left
156.0	6.0	passive	n/a	0.7933999999999912	right
162.0	6.0	passive	n/a	0.37719999999998777	right
172.0	6.0	active_change	miss	n/a	n/a
180.0	6.0	active_change	correct	0.5674999999999955	right
188.0	6.0	active_nochange	correct	0.7302999999999997	left
194.0	6.0	active_change	correct	0.5600000000000023	right
204.0	6.0	passive	miss	n/a	n/a
210.0	6.0	active_nochange	correct	0.7164999999999964	left
216.0	6.0	active_change	correct	0.6942999999999984	right
222.0	6.0	active_change	correct	0.5280999999999949	right
228.0	6.0	active_nochange	incorrect	0.7768000000000086	right
238.0	6.0	active_change	correct	0.9875000000000114	right
244.0	6.0	active_change	miss	n/a	n/a
252.0	6.0	active_change	miss	n/a	n/a
258.0	6.0	active_change	correct	0.6417999999999893	right
264.0	6.0	active_nochange	correct	0.5606000000000222	left
272.0	6.0	passive	miss	n/a	n/a
280.0	6.0	passive	n/a	0.6191000000000031	right
296.0	6.0	active_nochange	miss	n/a	n/a
302.0	6.0	active_nochange	correct	0.49329999999997654	left
